Media Market,Market State,dma,Total Airings 9Apr20 to 25Oct20,Est. Cost 9Apr20 to 25Oct29,Pro-Biden Airings 9Apr20 to 25Oct20,Pro-Trump Airings 9Apr20 to 25Oct20,Biden Ad Adv 9Apr20 to 25Oct20,Total Airings 12Oct20 to 25Oct20,Est. Cost 12Oct20 to 25Oct20,Pro-Biden Airings 12Oct20 to 25Oct20,Pro-Trump Airings 12Oct20 to 25Oct20,Biden Ad Adv 12Oct20 to 25Oct20
OTTUMWA,IA,631,762," $69,140 ",760,2,758,379," $34,490 ",377,2,375
PADUCAH,KY,632,106," $11,240 ",19,87,-68,21," $1,050 ",19,2,17
PALM SPRINGS,CA,804,53," $4,820 ",39,14,25,47," $4,080 ",36,11,25
PANAMA CITY,FL,656,"12,026"," $2,241,820 ","6,810","5,216","1,594","2,847"," $791,910 ","1,978",869,"1,109"
PARKERSBURG,WV,597,21," $16,070 ",21,0,21,2, $300 ,2,0,2
PEORIA,IL,675,69," $2,790 ",19,50,-31,20, $740 ,18,2,16
PHILADELPHIA,PA,504,"35,007"," $36,275,340 ","23,186","11,756","11,430","8,280"," $9,861,420 ","6,515","1,700","4,815"
PHOENIX,AZ,753,"53,911"," $52,852,170 ","29,864","24,047","5,817","9,009"," $12,785,610 ","6,033","2,976","3,057"
PITTSBURGH,PA,508,"33,454"," $32,140,360 ","21,434","12,020","9,414","6,896"," $8,108,910 ","5,167","1,729","3,438"
"PORTLAND, ME",ME,500,856," $416,840 ",845,11,834,510," $240,500 ",501,9,492
"PORTLAND, OR",OR,820,234," $38,040 ",99,135,-36,114," $14,180 ",99,15,84
PRESQUE ISLE,ME,552,82," $41,670 ",82,0,82,49," $25,660 ",49,0,49
PROVIDENCE,RI,521,38," $1,480 ",36,2,34,38," $1,480 ",36,2,34
QUINCY,IL,717,16, $630 ,5,11,-6,8, $310 ,5,3,2
RALEIGH,NC,560,"27,437"," $21,255,610 ","14,590","12,847","1,743","3,090"," $2,956,950 ","1,910","1,180",730
RAPID CITY,SD,764,31," $1,540 ",25,6,19,31," $1,540 ",25,6,19
RENO,NV,811,"9,014"," $3,644,240 ","5,632","3,382","2,250","2,038"," $1,025,570 ","1,691",347,"1,344"
RICHMOND,VA,556,422," $286,030 ",420,2,418,294," $233,650 ",292,2,290
ROANOKE,VA,573,45," $57,170 ",42,3,39,44," $53,220 ",42,2,40
"ROCHESTER, MN",MN,611,"4,852"," $1,192,030 ","3,396","1,456","1,940",922," $91,660 ",845,77,768
"ROCHESTER, NY",NY,538,46," $3,780 ",28,18,10,30," $1,300 ",28,2,26
ROCKFORD,IL,610,14, $870 ,11,3,8,12, $750 ,10,2,8
SACRAMENTO,CA,862,139," $40,180 ",83,56,27,88," $26,810 ",80,8,72
SALISBURY,MD,576,6, $510 ,6,0,6,6, $510 ,6,0,6
SALT LAKE CITY,UT,770,279," $41,190 ",97,182,-85,113," $18,010 ",97,16,81
SAN ANGELO,TX,661,14," $1,290 ",11,3,8,13," $1,220 ",11,2,9
SAN ANTONIO,TX,641,626," $764,800 ",562,64,498,458," $569,270 ",448,10,438
SAN DIEGO,CA,825,163," $39,820 ",89,74,15,97," $25,720 ",86,11,75
SAN FRANCISCO,CA,807,244," $102,410 ",151,93,58,161," $60,160 ",150,11,139
SANTA BARBARA,CA,855,74," $3,080 ",23,51,-28,30," $1,210 ",23,7,16
SAVANNAH,GA,507,"6,647"," $2,319,700 ",655,"5,992","-5,337","1,393"," $870,530 ",568,825,-257
SEATTLE,WA,819,247," $69,690 ",61,186,-125,68," $8,750 ",61,7,54
SHERMAN,TX,657,98," $3,530 ",7,91,-84,7, $390 ,7,0,7
SHREVEPORT,LA,612,11, $900 ,9,2,7,11, $900 ,9,2,7
SIOUX CITY,IA,624,"2,053"," $560,490 ","1,071",982,89,798," $236,250 ",563,235,328
